FRESHWORKS -  Dealers;;
;;
;;
;C11AB03653;Appia Motors S.r.l.
;C11AB04533;Sinergy S.r.l.
;C11AB03074;Roby Cars S.r.l.
;C11AB04178;Auto Planet Bari S.r.l. - (Via La Pira)
;C11AB04693;Auto Planet Bari S.r.l. - (Via Napoli)
;C11AB04696;FRENTAUTO SPA
;C11AB02917;Autocaracciolo S.n.c. - Brindisi (BR)
;C11AB02937;Chiarito Motors S.r.l.
;C11AB04397;Valentini Auto S.r.l.
;C11AB04500;Autocaracciolo S.r.l. - Lecce (LE)
;C11AB02290;C.I.M. Auto S.a.s.
;C11AB04546;Picca Motors S.r.l.
;C11AB00927;My Car S.r.l. - Villa Raspa di Spoltore (PE)
;C11AB04605;Progetto Auto S.r.l.
;C11AB04435;Sudauto S.r.l.
;C11AB04709;Automobilfrance SRL
;C11AB04394;Gruppo Napoli S.r.l.
;C11AB03211;Pollina Auto S.r.l.
;C11AB04400;Intermotors S.r.l.
;C11AB00045;Mondo Auto S.r.l. - Palermo (PA)
;C11AB04557;C.C.C. S.r.l. - SYRAKA
;C11AB04575;C.E.R. S.p.A.
;C11AB04679;Autoquadrifoglio S.r.l.
;C11AB04315;F.lli Longhi S.r.l.
;C11AB04689;Eurocar
;C11AB04701;Auto Grandi SRL
;C11AB04698;Autocityelle SRL
;C11AB04465;Blue Cars  S.R.L.
;C11AB04505;Ferrari Motors S.r.l. - AUTOMARKET
;C11AB04703;Perin Auto SRL
;C11AB04695;Cattleya SRL
;C11AB04666;Palmino S.r.l.
;C11AB04488;Golden Car S.r.l. - Ravenna (RA)
;C11AB04706;German Car SRL
;C11AB04700;F.lli Magnani SRL
;C11AB04675;Nuovauto S.r.l.
;C11AB04538;Luna Rossa S.r.l.
;C11AB04667;AV Service S.r.l.
;C11AB04678;Eurocar S.r.l.
;C11AB04633;Service Toskana S.r.l.
;C11AB04699;FC Autoservice
;C11AB04669;Catalucci Auto S.r.l.
;C11AB04523;Gestar S.r.l.
;C11AB04697;Pavese SRL
;C11AB04687;MJ Car S.r.l.
;C11AB04497;Renauto S.p.A. - AUTOPLANET
;C11AB04677;Auto Albanese S.r.l.
;C11AB04705;RF SRL 
;C11AB04702;C.A.R. Service SRL
